13:55:53 INFO  : Launching XSDB server: xsdb.bat -interactive C:\Users\dat14amr\Program\HannesAdamMachine\HannesAdamMachine.sdk\temp_xsdb_launch_script.tcl
13:56:00 INFO  : XSDB server has started successfully.
13:56:06 INFO  : Processing command line option -hwspec C:/Users/dat14amr/Program/HannesAdamMachine/HannesAdamMachine.sdk/design_1_wrapper.hdf.
14:00:54 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
14:00:56 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4 210274592199A" && level==0} -index 0' command is executed.
14:00:58 INFO  : FPGA configured successfully with bitstream "C:/Users/dat14amr/Program/HannesAdamMachine/HannesAdamMachine.sdk/design_1_wrapper_hw_platform_0/download.bit"
14:37:48 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
14:37:48 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4 210274592199A" && level==0} -index 0' command is executed.
14:37:50 INFO  : FPGA configured successfully with bitstream "C:/Users/dat14amr/Program/HannesAdamMachine/HannesAdamMachine.sdk/design_1_wrapper_hw_platform_0/download.bit"
14:44:12 INFO  : Connected to target on host '127.0.0.1' and port '3121'.
14:44:13 INFO  : 'targets -set -filter {jtag_cable_name =~ "Digilent Nexys4 210274592199A" && level==0} -index 0' command is executed.
14:44:15 INFO  : FPGA configured successfully with bitstream "C:/Users/dat14amr/Program/HannesAdamMachine/HannesAdamMachine.sdk/design_1_wrapper_hw_platform_0/download.bit"
